"Date","Team","Acquired","Relinquished","Notes"
"2021-02-10","Pistons","","• Jahlil Okafor","surgery on left knee (out indefinitely)"
"2021-02-10","Raptors","","• Yuta Watanabe","placed on IL with sprained left ankle"
"2021-02-10","Suns","• Chris Paul","","returned to lineup"
"2021-02-10","Suns","• Jae Crowder","","returned to lineup"
"2021-02-10","Thunder","• Mike Muscala","","returned to lineup"
"2021-02-10","Timberwolves","","• D'Angelo Russell","placed on IL with sore left leg"
"2021-02-10","Timberwolves","• Karl-Anthony Towns","","activated from IL"
"2021-02-11","76ers","","• Shake Milton","placed on IL with sprained left ankle"
"2021-02-11","Blazers","","• C.J. Elleby","placed on IL with illness"
"2021-02-11","Blazers","• Nassir Little","","activated from IL"
"2021-02-11","Celtics","","• Robert Williams III","placed on IL with left hip injury"
"2021-02-07","Cavaliers","","• Larry Nance Jr.","placed on IL with fractured left hand/finger"
"2021-02-07","Grizzlies","","• De'Anthony Melton","left shoulder injury (DTD)"
"2021-02-07","Hawks","","• De'Andre Hunter","surgery on right knee (out indefinitely)"
"2021-02-07","Hornets","• P.J. Washington","","returned to lineup"
"2021-02-07","Jazz","","• Juwan Morgan","illness (DTD)"
"2021-02-07","Suns","","• Abdel Nader","sore left ankle (DTD)"
"2021-02-07","Thunder","","• Mike Muscala","concussion (DTD)"
"2021-02-07","Thunder","","• Theo Maledon","NBA health and safety protocols (DTD)"
"2021-02-07","Wizards","• Raulzinho Neto / Raul Neto","","activated from IL"
"2021-02-08","Bucks","","• Jrue Holiday","placed on IL with NBA health and safety protocols"
"2021-02-08","Bulls","• Adam Mokoka","","activated from IL"
"2021-02-08","Lakers","","• Alex Caruso","placed on IL with right hand injury"
"2021-02-08","Lakers","","• Anthony Davis","placed on IL with right Achilles injury"
"2021-02-08","Mavericks","• James Johnson","","returned to lineup"
"2021-02-08","Nets","","• Iman Shumpert","placed on IL with strained left hamstring"
"2021-02-08","Nuggets","• Facundo Campazzo","","activated from IL"
"2021-02-08","Nuggets","• Jamal Murray","","activated from IL"
"2021-02-08","Rockets","","• John Wall (Hildred)","left Achilles injury (DTD)"
"2021-02-08","Suns","","• Chris Paul","right hamstring injury (DTD)"
"2021-02-08","Timberwolves","• D'Angelo Russell","","activated from IL"
"2021-02-08","Warriors","• Eric Paschall","","returned to lineup"
"2021-02-09","Blazers","","• Keljin Blevins","placed on IL"
"2021-02-09","Celtics","• Jaylen Brown","","activated from IL"
"2021-02-09","Hawks","","• Rajon Rondo","placed on IL with sore lower back"
"2021-02-09","Jazz","• Juwan Morgan","","returned to lineup"
"2021-02-06","Blazers","• Derrick Jones Jr.","","activated from IL"
"2021-02-06","Bulls","","• Lauri Markkanen","placed on IL with sprained right shoulder"
"2021-02-06","Cavaliers","• Larry Nance Jr.","","activated from IL"
"2021-02-06","Grizzlies","","• Brandon Clarke","right calf injury (DTD)"
"2021-02-06","Grizzlies","• Grayson Allen","","activated from IL"
"2021-02-06","Hawks","• Onyeka Okongwu","","activated from IL"
"2021-02-06","Hawks","• Trae Young","","activated from IL"
"2021-02-06","Heat","","• Goran Dragic","sprained left ankle (DTD)"
"2021-02-06","Hornets","","• Devonte' Graham","strained left groin (DTD)"
"2021-02-06","Jazz","","• Mike Conley Jr.","placed on IL with right hamstring injury"
"2021-02-06","Knicks","","• Nerlens Noel","placed on IL with sore left knee"
"2021-02-06","Magic","","• Evan Fournier","lower back spasms (DTD)"
"2021-02-06","Mavericks","","• James Johnson","left knee injury (DTD)"
"2021-02-06","Nets","","• Kevin Durant","placed on IL with NBA health and safety protocols"
"2021-02-06","Nets","","• Kyrie Irving","placed on IL with right index finger injury"
"2021-02-06","Nuggets","","• Facundo Campazzo","placed on IL with sore right knee"
"2021-02-06","Nuggets","","• Jamal Murray","placed on IL with sore left knee"
"2021-02-06","Pelicans","• Naji Marshall","","activated from IL"
"2021-02-06","Rockets","• David Nwaba","","returned to lineup"
"2021-02-06","Thunder","","• Isaiah Roby","right foot injury (DTD)"
"2021-02-06","Thunder","• Luguentz Dort","","returned to lineup"
"2021-02-06","Thunder","• Shai Gilgeous-Alexander","","returned to lineup"
"2021-02-06","Thunder","• Theo Maledon","","returned to lineup"
"2021-02-06","Timberwolves","","• D'Angelo Russell","placed on IL with right quadricep injury"
"2021-02-06","Warriors","","• Alen Smailagic","right knee injury (DTD)"
"2021-02-04","Hawks","","• Trae Young","placed on IL with bruised right calf"
"2021-02-04","Heat","","• Avery Bradley","strained right calf (out indefinitely)"
"2021-02-04","Mavericks","","• Tyrell Terry","placed on IL"
"2021-02-04","Nets","• Iman Shumpert","","activated from IL"
"2021-02-04","Rockets","","• Victor Oladipo","placed on IL with right quadricep injury"
"2021-02-04","Rockets","• John Wall (Hildred)","","activated from IL"
"2021-02-04","Thunder","","• Luguentz Dort","sore left knee (DTD)"
"2021-02-04","Warriors","","• Eric Paschall","sore right knee (DTD)"
"2021-02-05","Bulls","","• Adam Mokoka","placed on IL with NBA health and safety protocols"
"2021-02-05","Celtics","","• Jaylen Brown","placed on IL with sore left knee"
"2021-02-05","Celtics","• Payton Pritchard","","activated from IL"
"2021-02-05","Clippers","","• Paul George","placed on IL with sore right foot"
"2021-02-05","Grizzlies","• Jonas Valanciunas","","activated from IL"
"2021-02-05","Hornets","• Terry Rozier","","returned to lineup"
"2021-02-05","Pistons","","• Derrick Rose","placed on IL with left knee injury"
"2021-02-05","Pistons","","• Wayne Ellington","placed on IL with strained right calf"
"2021-02-05","Rockets","","• Christian Wood","placed on IL with sprained right ankle"
"2021-02-05","Spurs","","• Lonnie Walker IV","placed on IL with stomach illness"
"2021-02-05","Spurs","• Rudy Gay","","activated from IL"
"2021-02-05","Suns","","• Dario Saric","placed on IL with sprained left ankle"
"2021-02-05","Suns","","• Jae Crowder","sore right foot / sore left knee (DTD)"
"2021-02-05","Thunder","","• Theo Maledon","NBA health and safety protocols (DTD)"
"2021-02-05","Warriors","• Alen Smailagic","","returned to lineup"
"2021-02-06","76ers","• Ben Simmons","","activated from IL"
"2021-02-06","Blazers","• Damian Lillard","","activated from IL"
"2021-02-02","Clippers","• Nicolas Batum","","returned to lineup"
"2021-02-02","Heat","","• Meyers Leonard","surgery on left shoulder (out for season)"
"2021-02-02","Hornets","","• P.J. Washington","sprained right foot (DTD)"
"2021-02-02","Pistons","","• Derrick Rose","stomach illness (DTD)"
"2021-02-02","Pistons","","• Jahlil Okafor","placed on IL with left knee injury"
"2021-02-02","Raptors","• Norman Powell","","activated from IL"
"2021-02-02","Rockets","","• John Wall (Hildred)","placed on IL with left Achilles injury"
"2021-02-02","Spurs","","• LaMarcus Aldridge","placed on IL with right hip flexor injury"
"2021-02-02","Thunder","","• George Hill","surgery on right thumb (out indefinitely)"
"2021-02-02","Thunder","","• Shai Gilgeous-Alexander","sprained left knee (DTD)"
"2021-02-03","Bucks","","• Jordan Nwora","placed on IL"
"2021-02-03","Bucks","• Jaylen Adams","","activated from IL"
"2021-02-03","Bulls","","• Otto Porter Jr.","placed on IL with lower back spasms"
"2021-02-03","Cavaliers","• Andre Drummond","","returned to lineup"
"2021-02-03","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-02-03","Pelicans","• Steven Adams","","activated from IL"
"2021-02-03","Spurs","","• Rudy Gay","placed on IL with left hip flexor injury"
"2021-02-03","Suns","• Abdel Nader","","returned to lineup"
"2021-02-03","Warriors","","• Kevon Looney","sprained left ankle (DTD)"
"2021-02-03","Grizzlies","• Jontay Porter","","returned to lineup"
"2021-02-03","Thunder","• Ty Jerome","","returned to lineup"
"2021-02-04","76ers","","• (James) Mike Scott","placed on IL with right knee injury"
"2021-02-04","76ers","","• Ben Simmons","placed on IL with left calf injury"
"2021-02-04","Blazers","","• Damian Lillard","placed on IL with strained abdominal"
"2021-02-04","Celtics","• Kemba Walker","","activated from IL"
"2021-02-01","Cavaliers","","• Andre Drummond","sore lower back (DTD)"
"2021-02-01","Cavaliers","","• Larry Nance Jr.","placed on IL with sprained right wrist"
"2021-02-01","Hawks","","• De'Andre Hunter","placed on IL with right knee injury"
"2021-02-01","Hawks","","• Onyeka Okongwu","placed on IL with left Achilles injury"
"2021-02-01","Heat","• Avery Bradley","","returned to lineup"
"2021-02-01","Heat","• Goran Dragic","","returned to lineup"
"2021-02-01","Hornets","","• Terry Rozier","sprained right ankle (DTD)"
"2021-02-01","Kings","• Nemanja Bjelica","","activated from IL"
"2021-02-01","Knicks","","• Dennis Smith Jr.","placed on IL"
"2021-02-01","Knicks","• Nerlens Noel","","returned to lineup"
"2021-02-01","Magic","","• Aaron Gordon","placed on IL with sprained left ankle"
"2021-02-01","Magic","• Chuma Okeke","","activated from IL"
"2021-02-01","Mavericks","• Kristaps Porzingis","","activated from IL"
"2021-02-01","Mavericks","• Maximilian Kleber / Maxi Kleber","","activated from IL"
"2021-02-01","Nets","• James Harden","","activated from IL"
"2021-02-01","Nuggets","","• Gary Harris","placed on IL with strained left adductor"
"2021-02-01","Pelicans","","• Steven Adams","placed on IL with left calf injury"
"2021-02-01","Suns","","• Abdel Nader","ankle injury (DTD)"
"2021-02-01","Suns","• Devin Booker","","returned to lineup"
"2021-02-01","Timberwolves","• Juancho Hernangomez / Juan Hernangomez","","activated from IL"
"2021-02-01","Timberwolves","• Naz Reid","","returned to lineup"
"2021-02-01","Warriors","","• James Wiseman","sprained left wrist (DTD)"
"2021-02-02","76ers","• Joel Embiid","","returned to lineup"
"2021-02-02","Blazers","","• Nassir Little","placed on IL with sprained left knee"
"2021-02-02","Celtics","","• Marcus Smart","placed on IL with left calf injury"
"2021-01-30","Kings","","• Robert Woodard II","placed on IL"
"2021-01-30","Lakers","• Anthony Davis","","activated from IL"
"2021-01-30","Mavericks","","• Kristaps Porzingis","placed on IL with right knee injury"
"2021-01-30","Spurs","• Derrick White","","activated from IL"
"2021-01-30","Suns","","• Cameron Payne","placed on IL with right foot injury"
"2021-01-30","Suns","• Damian Jones","","activated from IL"
"2021-01-30","Wizards","• Deni Avdija","","activated from IL"
"2021-01-30","Wizards","• Ishmael Smith / Ish Smith","","activated from IL"
"2021-01-30","Wizards","• Troy Brown Jr.","","activated from IL"
"2021-01-30","Kings","• Jahmi'us Ramsey","","activated from IL"
"2021-01-31","76ers","","• Joel Embiid","back injury (DTD)"
"2021-01-31","Cavaliers","• Lamar Stevens","","activated from IL"
"2021-01-31","Celtics","","• Marcus Smart","strained left calf (DTD)"
"2021-01-31","Clippers","","• Nicolas Batum","left groin injury (DTD)"
"2021-01-31","Jazz","","• Udoka Azubuike","placed on IL with sprained right ankle"
"2021-01-31","Jazz","• Derrick Favors","","activated from IL"
"2021-01-31","Jazz","• Donovan Mitchell","","activated from IL"
"2021-01-31","Knicks","","• Nerlens Noel","left groin injury (DTD)"
"2021-01-31","Knicks","• Reggie Bullock","","activated from IL"
"2021-01-31","Nets","","• Iman Shumpert","placed on IL with NBA health and safety protocols"
"2021-01-31","Nets","","• James Harden","placed on IL with left thigh injury"
"2021-01-31","Nets","• Kevin Durant","","returned to lineup"
"2021-01-31","Nets","• Norvel Pelle","","returned to lineup"
"2021-01-31","Rockets","","• David Nwaba","sprained left ankle (DTD)"
"2021-01-31","Wizards","","• Raulzinho Neto / Raul Neto","placed on IL with left groin injury"
"2021-01-28","Wizards","• Moritz Wagner / Moe Wagner","","returned to lineup"
"2021-01-28","Wizards","• Rui Hachimura","","activated from IL"
"2021-01-29","76ers","• (James) Mike Scott","","activated from IL"
"2021-01-29","Blazers","","• Derrick Jones Jr.","placed on IL with sprained left foot"
"2021-01-29","Blazers","","• Robert Covington","placed on IL with concussion"
"2021-01-29","Cavaliers","• Larry Nance Jr.","","activated from IL"
"2021-01-29","Clippers","• Jay Scrubb","","returned to lineup"
"2021-01-29","Clippers","• Kawhi Leonard","","activated from IL"
"2021-01-29","Clippers","• Paul George","","activated from IL"
"2021-01-29","Grizzlies","","• Grayson Allen","placed on IL with NBA health and safety protocols"
"2021-01-29","Grizzlies","","• Killian Tillie","placed on IL with left foot injury"
"2021-01-29","Grizzlies","","• Sean McDermott","placed on IL with left shoulder injury"
"2021-01-29","Hawks","• Rajon Rondo","","activated from IL"
"2021-01-29","Nets","","• Kevin Durant","right Achilles injury (DTD)"
"2021-01-29","Nets","","• Norvel Pelle","NBA health and safety protocols (DTD)"
"2021-01-29","Pelicans","","• Naji Marshall","placed on IL with sprained left ankle"
"2021-01-29","Raptors","","• Norman Powell","placed on IL with bruised right quadriceps"
"2021-01-29","Timberwolves","","• Naz Reid","sprained right wrist (DTD)"
"2021-01-29","Timberwolves","• D'Angelo Russell","","activated from IL"
"2021-01-30","Blazers","• Robert Covington","","activated from IL"
"2021-01-30","Bulls","","• Devon Dotson","placed on IL"
"2021-01-30","Hawks","","• De'Andre Hunter","right knee injury (DTD)"
"2021-01-30","Heat","• Andre Iguodala","","returned to lineup"
"2021-01-30","Heat","• Jimmy Butler","","activated from IL"
"2021-01-30","Jazz","• Trent Forrest","","activated from IL"
"2021-01-27","Kings","","• Nemanja Bjelica","placed on IL with back spasms"
"2021-01-27","Kings","• Hassan Whiteside","","activated from IL"
"2021-01-27","Mavericks","• Dorian Finney-Smith","","activated from IL"
"2021-01-27","Mavericks","• Dwight Powell","","activated from IL"
"2021-01-27","Mavericks","• Josh Richardson","","activated from IL"
"2021-01-27","Nuggets","• Markus Howard","","activated from IL"
"2021-01-27","Pistons","","• Blake Griffin","placed on IL with left knee injury"
"2021-01-27","Pistons","• Derrick Rose","","activated from IL"
"2021-01-27","Raptors","","• Ogugua Anunoby / O.G. Anunoby","placed on IL with strained left calf"
"2021-01-27","Raptors","• Pascal Siakam","","activated from IL"
"2021-01-27","Spurs","• Drew Eubanks","","activated from IL"
"2021-01-27","Spurs","• Quinndary Weatherspoon","","returned to lineup"
"2021-01-27","Suns","","• Cameron Payne","right foot injury (DTD)"
"2021-01-27","Hornets","• Grant Riller","","returned to lineup"
"2021-01-27","Hornets","• Nate Darling","","returned to lineup"
"2021-01-27","Hornets","• Nick Richards","","activated from IL"
"2021-01-28","Blazers","• Rodney Hood","","returned to lineup"
"2021-01-28","Heat","","• Andre Iguodala","neck spasms (DTD)"
"2021-01-28","Heat","","• Avery Bradley","bruised right knee (DTD)"
